sector,land_type,total_area_hectares,affected_landowners_count,plots_count,current_stage,days_in_current_stage,env_forest_clearance_status,litigation_cases_count,public_objections_count,compensation_disparity_ratio,sia_completed,rr_plan_approved,risk_score,is_delayed,delay_stage
Industrial,Agricultural,25.63,39,83,R&R Implementation,57,Pending,0,4,0.91,1,1,20.3,0,Approval
Urban Infrastructure,Agricultural,76.79,133,163,Preliminary Notification (Sec 11),20,Approved,0,0,0.88,1,1,8.9,0,Compensation
Railways,Government/Barren,80.32,35,56,Declaration of Acquisition (Sec 19),196,Approved,2,4,0.79,1,1,51.9,1,Legal
Urban Infrastructure,Agricultural,70.73,120,242,Award & Compensation (Sec 23),47,Approved,0,1,0.72,1,1,23.1,0,Compensation
Railways,Residential,174.91,847,1387,Physical Possession,81,Approved,1,3,0.79,1,1,26.5,0,Documentation/Survey
Railways,Forest,219.57,73,145,Survey & Demarcation,69,Approved,1,2,0.98,1,1,19.5,0,Legal
Highways,Government/Barren,194.97,54,95,Award & Compensation (Sec 23),79,Approved,0,1,0.93,1,1,5.0,0,Compensation
Energy,Agricultural,58.09,75,89,Survey & Demarcation,95,Approved,0,1,0.98,1,1,5.0,0,Documentation/Survey
Irrigation,Government/Barren,353.01,195,241,Survey & Demarcation,19,Approved,0,0,0.89,1,1,22.1,0,Documentation/Survey
Railways,Agricultural,128.12,330,779,Declaration of Acquisition (Sec 19),99,Approved,1,5,1.0,1,1,25.1,0,Legal
Highways,Residential,26.78,118,281,Survey & Demarcation,67,Approved,0,0,0.91,0,1,5.0,0,Documentation/Survey
Irrigation,Agricultural,471.08,572,1126,Physical Possession,76,Approved,0,5,0.88,1,0,30.3,0,Rehabilitation & Resettlement
Industrial,Commercial,74.88,230,535,Hearing of Objections (Sec 15),33,Approved,0,0,0.71,1,0,35.2,0,Rehabilitation & Resettlement
Industrial,Government/Barren,60.59,25,42,Preliminary Notification (Sec 11),329,Approved,5,0,0.82,0,1,82.8,1,Legal
Highways,Agricultural,222.77,412,811,Award & Compensation (Sec 23),34,Approved,0,0,0.75,1,1,21.9,0,Documentation/Survey
Railways,Agricultural,60.39,104,240,R&R Implementation,19,Not Applicable,0,1,0.92,1,0,24.4,0,Rehabilitation & Resettlement
Irrigation,Residential,102.04,605,826,Award & Compensation (Sec 23),50,Approved,1,4,0.98,1,1,6.7,0,Documentation/Survey
Energy,Agricultural,54.87,99,212,Declaration of Acquisition (Sec 19),160,Approved,0,0,0.69,1,1,31.8,0,Compensation
Urban Infrastructure,Forest,51.44,13,31,R&R Implementation,21,Pending,0,0,0.64,1,1,61.7,1,Approval
Highways,Commercial,56.33,346,631,Preliminary Notification (Sec 11),405,Approved,1,1,0.72,1,1,55.6,1,Documentation/Survey
Railways,Residential,120.77,652,1483,Declaration of Acquisition (Sec 19),15,Approved,0,5,0.7,1,1,30.5,0,Compensation
Highways,Agricultural,106.53,259,627,Declaration of Acquisition (Sec 19),26,Approved,0,3,0.89,1,1,15.4,0,Documentation/Survey
Irrigation,Agricultural,350.99,869,1836,Hearing of Objections (Sec 15),48,Not Applicable,0,2,0.62,1,0,44.4,0,Rehabilitation & Resettlement
Irrigation,Agricultural,261.64,627,735,Survey & Demarcation,50,Not Applicable,4,7,0.54,0,1,80.9,1,Legal
Industrial,Residential,66.45,410,513,Physical Possession,25,Approved,0,5,0.83,1,1,18.0,0,Compensation
Energy,Residential,68.72,388,484,Survey & Demarcation,141,Not Applicable,0,2,0.73,1,1,31.5,0,Compensation
Highways,Agricultural,72.31,140,273,Declaration of Acquisition (Sec 19),38,Approved,0,0,0.91,1,1,5.0,0,Possession
Industrial,Forest,6.29,2,3,Physical Possession,45,Pending,0,6,0.89,1,1,62.9,1,Approval
Industrial,Forest,49.22,23,44,R&R Implementation,215,Rejected,0,4,0.74,1,1,94.9,1,Compensation
Urban Infrastructure,Agricultural,23.94,61,76,Survey & Demarcation,38,Approved,0,2,0.65,1,0,39.6,0,Compensation
Irrigation,Agricultural,495.51,836,1646,Award & Compensation (Sec 23),65,Pending,0,0,1.0,1,0,35.6,0,Approval
Railways,Government/Barren,200.94,86,191,Physical Possession,168,Approved,1,3,0.87,1,1,39.2,0,Legal
Urban Infrastructure,Forest,37.83,16,37,Declaration of Acquisition (Sec 19),52,Approved,0,7,0.63,1,1,60.3,1,Compensation
Irrigation,Residential,486.07,2134,3567,Declaration of Acquisition (Sec 19),76,Approved,1,2,0.77,1,0,38.1,0,Rehabilitation & Resettlement
Highways,Residential,123.56,357,651,Award & Compensation (Sec 23),19,Pending,2,3,0.82,1,1,68.9,1,Legal
Highways,Forest,167.21,48,115,Survey & Demarcation,115,Pending,0,6,0.85,0,1,75.3,1,Approval
Energy,Agricultural,26.21,43,82,Survey & Demarcation,23,Not Applicable,0,3,0.83,1,1,16.9,0,Documentation/Survey
Irrigation,Agricultural,406.58,912,1197,R&R Implementation,95,Not Applicable,1,1,0.94,1,1,28.2,0,Documentation/Survey
Industrial,Agricultural,68.88,176,405,Survey & Demarcation,79,Approved,0,1,0.53,1,1,33.8,0,Compensation
Urban Infrastructure,Agricultural,15.92,32,60,Declaration of Acquisition (Sec 19),38,Pending,1,4,0.99,1,1,40.1,0,Approval
Railways,Agricultural,247.1,414,1012,Hearing of Objections (Sec 15),25,Pending,3,4,0.76,1,0,93.4,1,Legal
Urban Infrastructure,Commercial,50.53,200,398,Preliminary Notification (Sec 11),219,Pending,0,2,1.0,0,1,52.6,1,Approval
Railways,Agricultural,220.97,394,710,Award & Compensation (Sec 23),222,Approved,2,1,0.94,1,0,56.7,1,Legal
Highways,Forest,191.02,61,99,R&R Implementation,131,Approved,0,5,0.8,1,1,28.3,0,Possession
Highways,Agricultural,46.88,90,183,Award & Compensation (Sec 23),220,Pending,0,2,0.84,1,1,54.6,1,Approval
Industrial,Agricultural,25.69,70,170,Declaration of Acquisition (Sec 19),98,Not Applicable,0,2,1.02,1,1,16.5,0,Compensation
Railways,Commercial,15.67,90,117,Award & Compensation (Sec 23),30,Approved,3,6,1.05,1,0,50.8,1,Legal
Highways,Forest,237.17,60,131,Preliminary Notification (Sec 11),90,Approved,0,2,0.77,1,0,27.5,0,Compensation
Urban Infrastructure,Agricultural,44.79,86,167,Award & Compensation (Sec 23),40,Approved,0,2,0.83,1,0,12.5,0,Rehabilitation & Resettlement
Industrial,Residential,14.76,43,104,Physical Possession,340,Approved,0,2,0.93,1,1,21.5,0,Compensation
Irrigation,Commercial,418.29,2053,4105,Physical Possession,59,Approved,0,1,0.56,1,0,50.5,1,Compensation
Irrigation,Agricultural,190.24,327,790,Hearing of Objections (Sec 15),215,Approved,0,5,0.72,1,0,69.7,1,Rehabilitation & Resettlement
Urban Infrastructure,Agricultural,78.83,101,140,Declaration of Acquisition (Sec 19),130,Not Applicable,0,1,0.71,1,1,27.5,0,Compensation
Urban Infrastructure,Forest,35.33,15,22,Award & Compensation (Sec 23),44,Pending,0,1,0.9,1,1,36.0,0,Approval
Industrial,Agricultural,19.54,47,74,Award & Compensation (Sec 23),32,Not Applicable,0,4,0.83,1,1,20.7,0,Compensation
Energy,Agricultural,28.71,54,94,R&R Implementation,252,Pending,0,1,0.85,1,0,53.9,1,Approval
Industrial,Government/Barren,73.18,30,40,Declaration of Acquisition (Sec 19),65,Pending,0,1,0.76,1,1,38.1,0,Approval
Urban Infrastructure,Residential,64.19,322,383,Survey & Demarcation,321,Approved,0,6,0.72,1,1,66.4,1,Compensation
Highways,Agricultural,166.22,286,365,Declaration of Acquisition (Sec 19),88,Pending,0,2,0.7,1,1,47.4,0,Compensation
Energy,Commercial,7.83,30,65,Award & Compensation (Sec 23),262,Approved,2,7,0.93,1,1,66.6,1,Legal
Irrigation,Government/Barren,215.53,117,289,Preliminary Notification (Sec 11),55,Approved,0,2,0.91,1,0,13.2,0,Rehabilitation & Resettlement
Irrigation,Government/Barren,423.97,114,270,Preliminary Notification (Sec 11),46,Not Applicable,0,1,0.76,1,0,32.6,0,Rehabilitation & Resettlement
Irrigation,Residential,391.48,1718,3369,Preliminary Notification (Sec 11),164,Not Applicable,4,7,0.7,1,0,98.0,1,Legal
Industrial,Forest,58.89,19,20,Preliminary Notification (Sec 11),92,Pending,0,1,0.91,1,1,47.6,0,Approval
Industrial,Agricultural,10.07,15,30,Physical Possession,85,Approved,0,0,0.58,1,1,28.7,0,Compensation
Urban Infrastructure,Forest,45.73,14,30,Physical Possession,45,Pending,0,2,0.84,1,1,48.3,0,Approval
Highways,Residential,116.19,729,986,Survey & Demarcation,95,Approved,0,2,0.72,1,1,35.4,0,Compensation
Irrigation,Agricultural,387.45,564,644,Physical Possession,27,Not Applicable,0,4,0.68,1,0,35.1,0,Rehabilitation & Resettlement
Urban Infrastructure,Agricultural,25.9,70,79,R&R Implementation,19,Approved,0,0,0.8,1,1,11.4,0,Compensation
